question_id,question,ideal_answer,topic,difficulty
ML001,What is the difference between supervised and unsupervised learning?,"Supervised learning uses labeled training data to learn a mapping from inputs to outputs, while unsupervised learning finds hidden patterns or structures in unlabeled data.",Machine Learning,Easy
ML002,Explain the concept of overfitting in machine learning.,"Overfitting occurs when a model learns the noise and details in the training data too well, resulting in high training accuracy but poor generalization to unseen data.",Machine Learning,Easy
ML003,"What is a loss function, and why is it used?","A loss function measures the discrepancy between the model's predicted outputs and the actual target values, serving as a guide to optimize model parameters.",Machine Learning,Easy
ML004,Define the terms 'features' and 'labels' in the context of a dataset.,"Features are the independent individual variables or attributes used as inputs to a model, whereas labels are the target outcomes or dependent variables to be predicted.",Machine Learning,Easy
ML005,What is the main objective of a linear regression model?,The objective of linear regression is to find the best-fitting straight line (hyperplane) that minimizes the sum of squared differences between predicted and actual continuous values.,Machine Learning,Easy
ML006,"What is a confusion matrix, and what does it represent?","A confusion matrix is a table used to evaluate the performance of a classification model by cross-tabulating actual versus predicted classes across metrics like TP, FP, TN, and FN.",Machine Learning,Easy
ML007,Explain the difference between classification and regression tasks.,"Classification predicts a discrete categorical class label or group assignment, whereas regression predicts a continuous numerical value.",Machine Learning,Easy
ML008,What is the purpose of splitting data into training and testing sets?,"The training set is used to fit the model's parameters, while the independent testing set is reserved to evaluate its generalization performance on unseen data.",Machine Learning,Easy
ML009,What does the K represent in the K-Nearest Neighbors (KNN) algorithm?,The K represents the number of closest data points (neighbors) in the feature space that the algorithm checks to determine the class or value of a new data point.,Machine Learning,Easy
ML010,"What is a decision tree, and how does it make a prediction?","A decision tree is a flowchart-like structure that splits data sequentially based on feature thresholds, making predictions by guiding a sample down to a leaf node.",Machine Learning,Easy
ML011,Explain the bias-variance tradeoff in machine learning.,The bias-variance tradeoff describes the tension between error from erroneous assumptions (bias) and error from sensitivity to training data fluctuations (variance); minimizing total error requires balancing both.,Machine Learning,Medium
ML012,"What is the purpose of regularization, and how do L1 and L2 regularization differ?","Regularization prevents overfitting by adding a penalty term to the loss function. L1 (Lasso) penalizes the absolute values of weights leading to sparsity, while L2 (Ridge) penalizes squared weights, shrinking them near zero.",Machine Learning,Medium
ML013,How does the Random Forest algorithm improve upon a single Decision Tree?,Random Forest reduces variance and overfitting by training an ensemble of independent decision trees on bootstrapped data subsets and aggregating their predictions via majority voting or averaging.,Machine Learning,Medium
ML014,"What is the purpose of cross-validation, and how does k-fold cross-validation work?","Cross-validation assesses how well a model generalizes. K-fold splits the data into k equal subsets, trains the model k times using a different subset as the test set each time, and averages the scores.",Machine Learning,Medium
ML015,Explain the concept and geometric intuition of Support Vector Machines (SVM).,SVM maximizes the geometric margin between the decision boundary (hyperplane) and the closest data points of different classes (support vectors) to ensure robust classification.,Machine Learning,Medium
ML016,"What is the ROC-AUC score, and when is it preferred over accuracy?",The ROC-AUC score measures a classifier's ability to distinguish between classes across all thresholds. It is preferred over accuracy for imbalanced datasets because it is invariant to class distribution.,Machine Learning,Medium
ML017,How does the K-Means clustering algorithm work?,"K-Means iteratively assigns data points to the nearest of K randomly initialized centroids, then updates each centroid to be the mean of its assigned points until the assignments stabilize.",Machine Learning,Medium
ML018,"What is ensemble learning, and what is the difference between bagging and boosting?","Ensemble learning combines multiple models to improve performance. Bagging trains models in parallel on independent bootstrapped subsets, while boosting trains models sequentially, focusing on correcting previous errors.",Machine Learning,Medium
ML019,Describe the purpose of the curse of dimensionality and its impact on distance-based models.,"As the number of features grows, the volume of space increases exponentially, making data sparse and causing distance metrics to converge to uniform values, degrading distance-based models like KNN.",Machine Learning,Medium
ML020,What is the difference between hard margin and soft margin SVM?,"Hard margin SVM requires perfect linear separation of data points with no misclassifications, while soft margin SVM uses a slack variable to allow some misclassifications to achieve better generalization.",Machine Learning,Medium
ML021,Explain the mathematical mechanism of the Kernel Trick in SVM.,"The kernel trick implicitly maps input data into a higher-dimensional feature space where it becomes linearly separable, calculating the inner products directly via a kernel function without explicit coordinate transformation.",Machine Learning,Hard
ML022,How does Gradient Boosting optimize its objective function mathematically?,"Gradient Boosting minimizes a loss function by sequentially adding weak learners that fit the pseudo-residuals, which represent the negative gradient of the loss function evaluated at the current ensemble's predictions.",Machine Learning,Hard
ML023,Describe the Expectation-Maximization (EM) algorithm and its application in Gaussian Mixture Models (GMM).,"The EM algorithm optimizes latent variable models. The E-step calculates the posterior probability that each data point belongs to a component, and the M-step updates the component parameters to maximize data likelihood.",Machine Learning,Hard
